Job ID $ Task index within the job, Start time (micro second), Finish time (micro second), Duration (micro second), Priority 
6251540546$23,0,1686707026,1686707026,2
6251540546$22,0,1823718484,1823718484,2
6251540546$29,0,1743933434,1743933434,2
6251540546$28,0,1819094302,1819094302,2
6251795690$808,2151676998,2629106826,477429828,2
6251795690$809,2151677012,3047449474,895772462,2
6251947488$49,4278717281,4362038195,83320914,2
6251947488$48,4278717261,4382329442,103612181,2
6251947488$41,4278717121,4383161804,104444683,2
6251947488$40,4278717101,4378646203,99929102,2
6251947488$43,4278717161,4360382399,81665238,2
6251947488$42,4278717141,4385720302,107003161,2
6251947488$46,4278717221,4384846237,106129016,2
6248963712$53,0,3998785497,3998785497,2
6251904229$1039,3551564622,4021178657,469614035,2
6251904229$1038,3551564608,4003494144,451929536,2
6251904229$1031,3551564499,4294842804,743278305,2
6251904229$1030,3551564485,4015470576,463906091,2
6251904229$1033,3551564528,4020184175,468619647,2
6251904229$1035,3551564566,4025255450,473690884,2
6251904229$1034,3551564549,4012518293,460953744,2
6251904229$1037,3551564594,4126676918,575112324,2
6251904229$1036,3551564580,4014672619,463108039,2
6251795690$1008,2151680060,2629106898,477426838,2
6251795690$1009,2151680074,2668289014,516608940,2
6251795690$1000,2151679948,3038173610,886493662,2
6251795690$1001,2151679962,2731041782,579361820,2
6251795690$1002,2151679976,2762859266,611179290,2
6251795690$1003,2151679990,2635103230,483423240,2
6251795690$1004,2151680004,2634262616,482582612,2
6251795690$1005,2151680018,2629106996,477426978,2
6251795690$1006,2151680032,2708568899,556888867,2
6251795690$1007,2151680046,3333667401,1181987355,2
6251827185$159,2220846169,2492840878,271994709,0
6251827185$158,2220846149,2481963405,261117256,0
6251827185$151,2220846009,2481964581,261118572,0
6251827185$150,2220845989,2492027390,271181401,0
6251827185$153,2220846049,2488016448,267170399,0
6251827185$152,2220846029,2508324861,287478832,0
6251827185$155,2220846089,2485802239,264956150,0
6251827185$157,2220846129,2484898913,264052784,0
6251779174$647,2102282870,2590932000,488649130,2
6251882848$410,3239657267,3511139538,271482271,2
6251779174$645,2102282842,2554809997,452527155,2
6251779174$644,2102282828,2547623641,445340813,2
6251779174$643,2102282814,2664850934,562568120,2
6251779174$642,2102282800,2557148447,454865647,2
6251779174$641,2102282785,2548502364,446219579,2
6251779174$640,2102282771,2562416200,460133429,2
6251882848$419,3239657393,3487231163,247573770,2
6251882848$418,3239657379,3552179755,312522376,2
6251779174$649,2102282898,2544859005,442576107,2
6251779174$648,2102282884,2582810183,480527299,2
6251722714$328,1426225687,1819094259,392868572,2
6251722714$329,1426225701,1834212402,407986701,2
6251860459$549,2789561165,2967353588,177792423,2
6251860459$548,2789561151,2989655148,200093997,2
6251723929$228,1426239913,2477454110,1051214197,2
6251723929$229,1426239927,2857930308,1431690381,2
6251723929$220,1426239800,2989654920,1563415120,2
6251723929$221,1426239814,2461991672,1035751858,2
6251723929$222,1426239828,2718156756,1291916928,2
6251723929$223,1426239842,2672106353,1245866511,2
6251723929$224,1426239856,2394308209,968068353,2
6251723929$225,1426239871,2503558865,1077318994,2
6251723929$226,1426239885,2380485297,954245412,2
6251723929$227,1426239899,2372554757,946314858,2
6251784940$1669,2140247021,2508325524,368078503,2
6251784940$1666,2140246979,2492027784,351780805,2
6251784940$1660,2140246895,2511833458,371586563,2
6251784940$1661,2140246909,2495460254,355213345,2
6251784940$1329,2140241873,2512622435,372380562,2
6251784940$1328,2140241859,2494626386,354384527,2
6251784940$1323,2140241789,2512623496,372381707,2
6251784940$1322,2140241775,2489727610,349485835,2
6251784940$1327,2140241845,2496353393,356111548,2
6251784940$1326,2140241831,2492842015,352600184,2
6251784940$1324,2140241803,2502007302,361765499,2
6251845404$11,2476211764,3098265707,622053943,2
6251845404$10,2476211744,3162499087,686287343,2
6251845404$13,2476211804,3173065261,696853457,2
6251845404$12,2476211784,3140432139,664220355,2
6251845404$14,2476211825,3088291827,612080002,2
6251959510$9,4524461361,4894816158,370354797,2
6251959510$8,4524461341,4893973516,369512175,2
6251959510$5,4524461281,4887460109,362998828,2
6251959510$4,4524461261,4889770086,365308825,2
6251959510$7,4524461321,4891375319,366913998,2
6251959510$6,4524461301,4889769807,365308506,2
6251959510$1,4524461207,4900400911,375939704,2
6251959510$0,4524461193,4898667522,374206329,2
6251959510$3,4524461241,4889069818,364608577,2
6251959510$2,4524461221,4894816052,370354831,2
6251749537$290,1574505445,1789045767,214540322,2
6251749537$291,1574505461,1777785494,203280033,2
6251749537$292,1574505477,1783673290,209167813,2
6251749537$293,1574505493,1780939883,206434390,2
6251803864$1177,2178757878,2871451519,692693641,2
6251803864$1176,2178757864,2916397513,737639649,2
6251803864$1175,2178757850,3137533914,958776064,2
6251803864$1174,2178757836,3471459132,1292701296,2
6251803864$1173,2178757822,2895728915,716971093,2
6251965441$18,4729762898,4904317625,174554727,2
6251860459$675,2789563075,2991162007,201598932,2
6251860459$674,2789563061,2953329859,163766798,2
6251687275$148,872245329,1416635742,544390413,2
6251687275$149,872245349,1434355106,562109757,2
6251784940$372,2140227752,2509212410,368984658,2
6251784940$375,2140227794,2494626415,354398621,2
6251904229$929,3551563000,4025256185,473693185,2
6251904229$928,3551562986,4189502434,637939448,2
6251687275$146,872245289,1401137428,528892139,2
6251969145$578,4841049025,5358152182,517103157,2
6251983768$449,4952043252,5024372678,72329426,0
6251983768$448,4952043232,5023550326,71507094,0
6251983768$443,4952043132,5026384866,74341734,0
6251983768$442,4952043112,5031975838,79932726,0
6251983768$440,4952043072,5023549338,71506266,0
6251983768$447,4952043212,5019595458,67552246,0
6251983768$446,4952043192,5025167549,73124357,0
6251983768$445,4952043172,5019595266,67552094,0
6251983768$444,4952043152,5031216391,79173239,0
6251812952$454,2205330711,4762185335,2556854624,2
6251812952$457,2205330843,5081086337,2875755494,2
6251812952$1038,2228708248,4873988947,2645280699,2
6251812952$1039,2231825127,4803363121,2571537994,2
6251812952$1032,2229686404,5070052923,2840366519,2
6251812952$1033,2243860517,4852069952,2608209435,2
6251812952$1030,2237592012,4858837000,2621244988,2
6251812952$1031,2235282776,4846205267,2610922491,2
6251812952$1036,2242917212,5291558147,3048640935,2
6251812952$1037,2242917028,4887460399,2644543371,2
6251812952$1034,2242916764,5179753692,2936836928,2
6251812952$1035,2233017497,5197094479,2964076982,2
6251812952$450,2205330631,5310829740,3105499109,2
6251726235$810,1442210254,3101251225,1659040971,2
6251726235$811,1442210268,3089945939,1647735671,2
6251726235$812,1442210288,3123434739,1681224451,2
6251726235$813,1442210320,3094342468,1652132148,2
6251726235$815,1442210360,3075644257,1633433897,2
6251779174$339,2102278187,2549328732,447050545,2
6251779174$338,2102278173,2551352882,449074709,2
6251779174$337,2102278159,2633518231,531240072,2
6251779174$336,2102278145,2588831537,486553392,2
6251779174$335,2102278131,2552132269,449854138,2
6251779174$334,2102278117,2551354047,449075930,2
6251779174$333,2102278103,2545811417,443533314,2
6251779174$332,2102278089,2540315161,438037072,2
6251779174$331,2102278073,2578367928,476089855,2
6251779174$330,2102278059,2545811694,443533635,2
6251915193$629,3853055927,4074388547,221332620,2
6251915193$620,3853055783,4061017056,207961273,2
6251915193$621,3853055797,4056206467,203150670,2
6251915193$622,3853055811,4056206283,203150472,2
6251915193$623,3853055825,4026813101,173757276,2
6251915193$624,3853055839,4028331948,175276109,2
6251915193$625,3853055853,4020184570,167128717,2
6251915193$626,3853055867,4125018928,271963061,2
6250505806$108,0,2013323462,2013323462,2
6251803864$1407,2178761368,2867323307,688561939,2
6251803864$1406,2178761354,2939058751,760297397,2
6251803864$1405,2178761340,2837676389,658915049,2
6251803864$1404,2178761326,2879504476,700743150,2
6251803864$1403,2178761312,2857930080,679168768,2
6251803864$1402,2178761298,2910019363,731258065,2
6251803864$1401,2178761284,2917153797,738392513,2
6251803864$1400,2178761270,3245290360,1066529090,2
